machine_id,timestamp,temp_c,rpm,vibration,failure
M011,2024-03-01T22:40:00,46.86,71.85,33.13,0
M016,2024-03-01T22:45:00,55.31,78.53,30.27,0
M023,2024-03-01T22:50:00,46.47,82.16,27.65,0
M011,2024-03-01T22:55:00,50.17,77.05,27.21,0
M032,2024-03-01T23:00:00,50.44,80.52,33.05,0
M050,2024-03-01T23:05:00,47.66,81.3,33.86,0
M057,2024-03-01T23:10:00,54.82,75.48,30.15,0
M047,2024-03-01T23:15:00,46.45,82.03,28.35,0
M015,2024-03-01T23:20:00,46.56,87.75,30.58,0
M015,2024-03-01T23:25:00,46.45,85.33,30.71,0
M057,2024-03-01T23:30:00,51.68,79.08,31.76,0
M044,2024-03-01T23:35:00,50.24,85.21,26.72,0
M020,2024-03-01T23:40:00,52.58,83.36,29.18,0
M046,2024-03-01T23:45:00,50.52,86.94,30.97,0
M003,2024-03-01T23:50:00,49.98,89.95,32.01,0
M037,2024-03-01T23:55:00,54.4,84.31,29.79,0
M011,2024-03-02T00:00:00,49.54,76.88,29.26,0
M017,2024-03-02T00:05:00,48.58,90.45,29.27,0
M014,2024-03-02T00:10:00,50.8,80.13,32.85,0
M004,2024-03-02T00:15:00,52.87,80.13,30.88,0
M029,2024-03-02T00:20:00,48.94,87.45,30.4,0
M038,2024-03-02T00:25:00,48.5,82.53,29.81,0
M056,2024-03-02T00:30:00,50.44,81.4,30.04,0
M049,2024-03-02T00:35:00,50.76,80.18,25.32,0
M015,2024-03-02T00:40:00,47.61,73.15,31.6,0
M028,2024-03-02T00:45:00,50.64,77.9,29.99,0
M014,2024-03-02T00:50:00,52.41,89.81,26.02,0
M012,2024-03-02T00:55:00,54.73,79.16,29.56,0
M057,2024-03-02T01:00:00,49.42,81.89,32.13,0
M001,2024-03-02T01:05:00,46.64,80.54,25.21,0
M057,2024-03-02T01:10:00,52.21,72.15,32.29,0
M023,2024-03-02T01:15:00,50.49,80.43,30.92,0
M001,2024-03-02T01:20:00,51.29,77.12,29.46,0
M020,2024-03-02T01:25:00,51.13,94.64,30.43,0
M048,2024-03-02T01:30:00,49.66,80.68,29.48,0
M014,2024-03-02T01:35:00,51.94,78.21,26.25,0
M006,2024-03-02T01:40:00,53.07,81.56,30.06,0
M029,2024-03-02T01:45:00,56.41,82.37,27.02,0
M022,2024-03-02T01:50:00,46.54,71.54,27.0,0
M049,2024-03-02T01:55:00,47.44,78.55,31.61,0
M034,2024-03-02T02:00:00,50.81,86.23,26.97,0
M009,2024-03-02T02:05:00,51.05,83.91,32.52,0
M012,2024-03-02T02:10:00,50.89,85.49,28.84,0
M043,2024-03-02T02:15:00,56.06,90.16,28.27,1
M026,2024-03-02T02:20:00,52.01,78.22,29.18,0
M009,2024-03-02T02:25:00,48.63,83.92,30.88,0
M058,2024-03-02T02:30:00,47.53,78.42,31.66,0
M038,2024-03-02T02:35:00,55.81,76.09,28.96,0
M050,2024-03-02T02:40:00,55.31,74.84,31.92,0
M025,2024-03-02T02:45:00,53.21,82.33,33.42,0
M031,2024-03-02T02:50:00,55.4,78.69,29.7,0
M035,2024-03-02T02:55:00,48.22,78.06,29.39,0
M041,2024-03-02T03:00:00,51.1,79.26,30.5,0
M000,2024-03-02T03:05:00,46.69,78.26,30.38,0
M056,2024-03-02T03:10:00,49.84,81.68,30.63,0
M049,2024-03-02T03:15:00,43.2,90.01,33.09,0
M054,2024-03-02T03:20:00,50.56,87.96,30.9,0
M014,2024-03-02T03:25:00,55.12,84.62,26.18,0
M030,2024-03-02T03:30:00,44.1,80.99,30.1,0
M005,2024-03-02T03:35:00,58.13,84.61,30.05,0
M034,2024-03-02T03:40:00,56.55,75.61,30.95,0
M030,2024-03-02T03:45:00,47.9,78.9,31.42,0
M027,2024-03-02T03:50:00,49.29,79.76,33.25,0
M012,2024-03-02T03:55:00,47.04,76.31,32.41,0
M014,2024-03-02T04:00:00,51.33,79.55,35.02,0
M017,2024-03-02T04:05:00,56.96,87.27,30.46,0
M000,2024-03-02T04:10:00,50.94,79.6,30.49,0
M025,2024-03-02T04:15:00,52.03,75.76,31.14,0
M026,2024-03-02T04:20:00,51.0,79.39,33.38,0
M021,2024-03-02T04:25:00,55.53,74.53,29.55,0
M054,2024-03-02T04:30:00,54.88,85.3,31.27,0
M027,2024-03-02T04:35:00,44.87,76.81,33.35,0
M025,2024-03-02T04:40:00,50.55,73.59,31.13,0
M057,2024-03-02T04:45:00,51.95,77.41,30.12,0
M028,2024-03-02T04:50:00,49.77,77.83,30.23,0
M028,2024-03-02T04:55:00,51.57,83.62,26.57,0
M024,2024-03-02T05:00:00,54.97,83.82,32.25,0
M025,2024-03-02T05:05:00,46.58,76.56,29.07,0
M023,2024-03-02T05:10:00,53.97,73.39,30.79,0
M003,2024-03-02T05:15:00,52.01,79.29,30.87,0
M021,2024-03-02T05:20:00,54.67,83.68,29.48,0
M034,2024-03-02T05:25:00,51.77,75.54,30.88,0
M052,2024-03-02T05:30:00,52.36,83.35,29.41,0
M054,2024-03-02T05:35:00,52.37,72.2,28.88,0
M031,2024-03-02T05:40:00,49.96,71.34,27.67,0
M055,2024-03-02T05:45:00,49.77,72.64,29.21,0
M015,2024-03-02T05:50:00,50.07,78.62,29.43,0
M022,2024-03-02T05:55:00,57.29,75.74,26.5,0
M011,2024-03-02T06:00:00,53.35,76.06,28.09,0
M009,2024-03-02T06:05:00,60.19,77.73,31.08,0
M010,2024-03-02T06:10:00,51.97,75.73,31.68,0
M017,2024-03-02T06:15:00,56.93,69.4,29.81,0
M056,2024-03-02T06:20:00,52.83,74.28,28.6,0
M006,2024-03-02T06:25:00,52.88,80.38,25.33,0
M007,2024-03-02T06:30:00,52.99,83.5,27.71,0
M031,2024-03-02T06:35:00,48.31,74.86,29.77,0
M029,2024-03-02T06:40:00,51.13,84.46,29.57,0
M009,2024-03-02T06:45:00,49.7,75.18,29.88,0
M049,2024-03-02T06:50:00,54.81,80.41,28.59,0
M047,2024-03-02T06:55:00,53.45,75.52,29.49,0
M007,2024-03-02T07:00:00,51.96,81.37,28.95,0
M018,2024-03-02T07:05:00,51.02,75.33,32.57,0
M011,2024-03-02T07:10:00,52.83,87.17,27.24,0
M051,2024-03-02T07:15:00,50.42,76.37,28.92,0
M015,2024-03-02T07:20:00,52.35,80.72,28.67,0
M057,2024-03-02T07:25:00,52.29,78.71,31.61,0
M052,2024-03-02T07:30:00,53.9,80.63,28.44,0
M014,2024-03-02T07:35:00,57.52,78.41,30.11,0
M025,2024-03-02T07:40:00,46.2,75.91,29.58,0
M014,2024-03-02T07:45:00,51.67,81.94,27.63,0
M006,2024-03-02T07:50:00,52.65,73.28,35.88,0
M051,2024-03-02T07:55:00,47.34,79.83,25.22,0
M034,2024-03-02T08:00:00,52.54,80.68,26.93,0
M016,2024-03-02T08:05:00,52.94,80.88,29.44,0
M017,2024-03-02T08:10:00,48.21,80.08,32.08,0
M022,2024-03-02T08:15:00,56.44,75.37,28.28,0
M019,2024-03-02T08:20:00,56.4,78.91,27.83,0
M005,2024-03-02T08:25:00,52.65,80.28,32.31,0
M001,2024-03-02T08:30:00,52.78,83.83,28.6,0
M013,2024-03-02T08:35:00,54.55,86.2,31.97,0
M018,2024-03-02T08:40:00,50.91,71.85,28.96,0
M006,2024-03-02T08:45:00,53.02,81.84,28.23,0
M003,2024-03-02T08:50:00,51.98,69.13,29.78,0
M055,2024-03-02T08:55:00,53.17,91.04,30.34,0
M045,2024-03-02T09:00:00,53.81,72.62,31.94,0
M031,2024-03-02T09:05:00,55.15,84.29,26.22,0
M039,2024-03-02T09:10:00,53.17,75.14,30.12,0
M016,2024-03-02T09:15:00,55.12,80.72,31.77,0
M051,2024-03-02T09:20:00,53.25,82.78,30.99,0
M039,2024-03-02T09:25:00,52.14,77.87,28.87,0
M010,2024-03-02T09:30:00,55.46,70.46,35.21,0
M033,2024-03-02T09:35:00,53.04,78.84,26.31,0
M033,2024-03-02T09:40:00,56.84,71.0,30.87,0
M024,2024-03-02T09:45:00,56.86,81.92,29.41,0
M026,2024-03-02T09:50:00,51.51,79.84,34.3,0
M057,2024-03-02T09:55:00,54.99,78.81,27.49,0
M057,2024-03-02T10:00:00,60.58,78.22,32.25,0
M020,2024-03-02T10:05:00,54.28,83.44,31.19,0
M003,2024-03-02T10:10:00,54.7,74.7,31.21,0
M041,2024-03-02T10:15:00,49.38,84.56,32.33,0
M037,2024-03-02T10:20:00,48.55,76.16,30.17,0
M053,2024-03-02T10:25:00,53.37,84.11,31.34,0
M007,2024-03-02T10:30:00,53.42,79.26,32.15,0
M043,2024-03-02T10:35:00,54.09,78.56,28.22,0
M000,2024-03-02T10:40:00,53.7,78.15,30.13,0
M022,2024-03-02T10:45:00,57.96,75.66,26.11,0
M037,2024-03-02T10:50:00,55.44,77.72,34.38,0
M024,2024-03-02T10:55:00,56.71,78.16,33.21,0
M042,2024-03-02T11:00:00,49.36,85.99,29.65,0
M017,2024-03-02T11:05:00,56.02,72.54,30.93,0
M012,2024-03-02T11:10:00,57.38,84.28,29.49,0
M056,2024-03-02T11:15:00,56.43,80.72,30.32,0
M052,2024-03-02T11:20:00,54.0,71.64,28.97,0
M022,2024-03-02T11:25:00,57.2,79.87,29.39,0
M050,2024-03-02T11:30:00,54.64,79.62,33.45,0
M020,2024-03-02T11:35:00,50.31,71.21,25.59,0
M000,2024-03-02T11:40:00,57.83,87.66,26.87,0
M018,2024-03-02T11:45:00,52.98,72.91,31.23,0
M042,2024-03-02T11:50:00,50.6,73.54,29.43,0
M032,2024-03-02T11:55:00,53.72,84.79,28.75,0
M031,2024-03-02T12:00:00,56.78,77.58,31.77,0
M059,2024-03-02T12:05:00,53.89,82.35,29.25,0
M037,2024-03-02T12:10:00,53.12,86.35,32.63,0
M023,2024-03-02T12:15:00,53.5,83.51,27.22,0
M005,2024-03-02T12:20:00,48.73,76.38,30.81,0
M042,2024-03-02T12:25:00,50.38,72.82,29.65,0
M028,2024-03-02T12:30:00,51.99,74.8,26.56,0
M026,2024-03-02T12:35:00,53.35,82.14,30.2,0
M053,2024-03-02T12:40:00,54.18,74.79,31.17,0
M000,2024-03-02T12:45:00,52.43,79.72,30.29,0
M001,2024-03-02T12:50:00,60.68,77.22,29.18,0
M015,2024-03-02T12:55:00,54.39,73.69,31.77,0
M025,2024-03-02T13:00:00,51.44,80.77,30.29,0
M008,2024-03-02T13:05:00,52.75,79.44,31.51,0
M058,2024-03-02T13:10:00,50.69,79.49,29.5,0
M017,2024-03-02T13:15:00,54.41,85.03,30.94,0
M037,2024-03-02T13:20:00,52.93,79.57,28.15,0
M038,2024-03-02T13:25:00,52.87,73.22,30.07,0
M029,2024-03-02T13:30:00,50.36,83.12,28.6,0
M005,2024-03-02T13:35:00,55.63,84.81,31.17,0
M043,2024-03-02T13:40:00,51.96,78.9,32.07,0
M036,2024-03-02T13:45:00,56.69,82.99,32.49,0
M047,2024-03-02T13:50:00,53.65,78.77,30.73,0
M054,2024-03-02T13:55:00,54.83,79.7,31.98,0
M012,2024-03-02T14:00:00,55.68,72.81,30.48,0
M012,2024-03-02T14:05:00,52.05,78.17,29.73,0
M021,2024-03-02T14:10:00,54.71,76.61,30.65,0
M040,2024-03-02T14:15:00,50.01,85.35,31.08,0
M021,2024-03-02T14:20:00,56.39,74.71,29.03,0
M033,2024-03-02T14:25:00,51.59,76.41,30.13,0
M040,2024-03-02T14:30:00,55.59,85.23,28.33,0
M030,2024-03-02T14:35:00,53.48,89.08,30.98,0
